new_name;labels;L_consumption_w7_3.0p.dta;L_consumption_w6_5p.dta;page_w7;page_w6;qid;filter;layout;group;question_english;subquestion_english;categories_english;type;;;;;
intro;;intro;intro;0;0;intro;-;open;Intro;This questionnaire is about how you spend your time and money. It is important that everyone in your household completes this questionnaire, even if your answers are similar.;;;str;;;;;
children_not_school;;q2a;-;1;-;q2a;-;cat;Pre-School Children in Household;Are there one or more children in your household who are not yet in primary school?;;Yes, No ;Categorical;;;;;
children_school;;q2b;-;2;-;q2b;-;cat;School Children in Household;Do you have one or more children in your household who go to school?;;Yes, No ;Categorical;;;;;
hours_cc_young_self_202002;;q2a_1_pre;-;3.01;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";myself;"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
hours_cc_young_partner_202002;;q2a_2_pre;-;3.02;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";partner/spouse;"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
hours_cc_young_expartner_202002;;q2a_3_pre;-;3.03;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";(ex-)partner (not belonging to your household);"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
hours_cc_young_gp_202002;;q2a_4_pre;-;3.04;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";grandparent(s) of the child;"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
hours_cc_young_siblings_202002;;q2a_5_pre;-;3.05;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";older brother(s) or sister(s) of the child;"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
hours_cc_young_otherfam_202002;;q2a_6_pre;-;3.06;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";another relative of the child;"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
hours_cc_young_daycare_202002;;q2a_7_pre;-;3.07;-;q2a_pre_post;q2a;grid;Time Use Youngest Pre-Schooll Child;"We would like to know who takes care of the youngest child not yet attending primary school, in a normal week in the period before and after the childcare or the host parents' office was closed on 16 March. 
- Please complete your answer in whole hours. 
- Do not count the hours of sleep during the night. 
- It is customary for your answer to be between 85 and 110 hours. 

Indicate the number of hours your child is/was cared for by these persons or institutions during the period:";nursery;"Hours per week before the day care centre or
 the host parent office closed down, Hours per week after the childcare centre or
 the host parents' office has been closed";int;;;;;
