new_name;page;qid;id;layout;filter;group;question_dutch;subquestion_dutch;categories_dutch;question_english;subquestion_english;categories_english;ordered;type;nice_name_english
;1;intro;;open;-;Introduction ;Deze maand krijgt u de derde vragenlijst uit de reeks “Corona-uitbraak in Nederland” over hoe het coronavirus van invloed is op uw dagelijkse leven. Ook als u de eerdere twee vragenlijsten niet hebt ingevuld, kunt u meedoen.Een aantal van de vragen uit de eerste twee vragenlijsten wordt nu opnieuw aan u voorgelegd, om te kijken of uw situatie twee maanden na de genomen maatregelen is veranderd ten opzichte van toen de maatregelen net waren ingevoerd. Hoewel er voorzichtig positieve signalen zijn, “zijn we er nog lang niet”, meldt premier Rutte. Het blijft daarom belangrijk dat er onderzoek wordt gedaan. Naast onderzoek naar gezondheid, en iemands welbevinden, is ook onderzoek naar de economische gevolgen voor werkenden, gepensioneerden en niet-werkenden nodig. Op basis van de situatie nu, zou er voor de toekomst beleid moeten worden gemaakt, zodat bij eventuele volgende uitbraken op de juiste manier kan worden gehandeld.Ook nu weer: bedankt alvast voor het meedoen!;;;"This month you will receive the third questionnaire in the series ""Corona outbreak in the Netherlands"" on how the coronavirus affects your daily life. You can also participate if you have not completed the previous two questionnaires. A number of the questions from the first two questionnaires will now be asked to you again, to see if your situation has changed two months after the measures were taken compared to when the measures had just been implemented.  Although there are cautiously positive signs, Prime Minister Rutte says ""we are far from there"". It therefore remains important that research is carried out. In addition to research on health and a person's well-being, research on the economic consequences for those in work, pensioners, and the unemployed is also needed. Based on the situation now, policy should be made for the future, so that any subsequent outbreaks can be dealt with in the right way. Once again: thank you for participating!";;;;open;
;2;InfectionDiagnosed;;cat;-;InfectionDiagnosed;Heeft een huisarts of een ander medisch deskundige bij u de diagnose gesteld dat u besmet bent met het coronavirus (Covid-19)?;;Ja die diagnose is bij mij gesteld, Nee, Het is nog niet zeker;Has a doctor or another healthcare professional diagnosed you with the coronavirus (COVID-19)?;;Yes I have been diagnosed with it, No, Unsure;1;Categorical;
;3;SelfPerceivedInfection;;cat;-;SelfPerceivedInfection;Denkt u zelf dat u besmet bent met het coronavirus (Covid-19)?;;Ja, Nee, Ik weet het niet;Do you think you’ve been infected with the coronavirus (COVID-19)?;;Yes, No, Unsure;1;Categorical;
;4.1;q1header;q1a;grid;-;Subjective Risks;Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden gebeuren?  U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;u wordt besmet;;On a scale of 0 to 100 percent, how likely do you think that the following events will happen in the the next three months?;You will be infected;;;int;
;4.2;q1header;q1b;grid;-;Subjective Risks;Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden gebeuren?  U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;iemand in uw directe omgeving (familie, vrienden, collega’s) wordt besmet;;On a scale of 0 to 100 percent, how likely do you think that the following events will happen in the the next three months?;Someone in your direct environment (family, friends, colleagues) will be infected;;;int;
;4.3;q1header;q1c;grid;-;Subjective Risks;Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden gebeuren?  U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;u moet naar het ziekenhuis als u wordt besmet;;On a scale of 0 to 100 percent, how likely do you think that the following events will happen in the the next three months?;You will have to go to the hospital if you get infected   ;;;int;
;4.4;q1header;q1d;grid;-;Subjective Risks;Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden gebeuren?  U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;u wordt besmet en u besmet iemand anders;;On a scale of 0 to 100 percent, how likely do you think that the following events will happen in the the next three months?;You will be infected and you infect someone else;;;int;
;5.1;q30hd_week;q30a_wk;table;-;Mental Health in the Past Week;De volgende vraag gaat over hoe u zich voelde in de afgelopen zeven dagen. Geeft u het antwoord dat het best uw gevoel weergeeft.  De afgelopen zeven dagen...;was ik erg zenuwachtig;Nooit, Zelden, Soms, Vaak, Meestal, Voortdurend;The next question is about how you have felt over the past seven days. Give the answer that best reflects your feelings.  Over the past seven days…;I felt very anxious;Never, Rarely, Sometimes, Often, Usually, Constantly;TRUE;Categorical;
;5.2;q30hd_week;q30b_wk;table;-;Mental Health in the Past Week;De volgende vraag gaat over hoe u zich voelde in de afgelopen zeven dagen. Geeft u het antwoord dat het best uw gevoel weergeeft.  De afgelopen zeven dagen...;zat ik zo erg in de put dat niets mij kon opvrolijken;Nooit, Zelden, Soms, Vaak, Meestal, Voortdurend;The next question is about how you have felt over the past seven days. Give the answer that best reflects your feelings.  Over the past seven days…;I felt so down that nothing could cheer me up;Never, Rarely, Sometimes, Often, Usually, Constantly;TRUE;Categorical;
;5.3;q30hd_week;q30b_wk;table;-;Mental Health in the Past Week;De volgende vraag gaat over hoe u zich voelde in de afgelopen zeven dagen. Geeft u het antwoord dat het best uw gevoel weergeeft.  De afgelopen zeven dagen...;voelde ik me kalm en rustig;Nooit, Zelden, Soms, Vaak, Meestal, Voortdurend;The next question is about how you have felt over the past seven days. Give the answer that best reflects your feelings.  Over the past seven days…;I felt calm and peaceful;Never, Rarely, Sometimes, Often, Usually, Constantly;TRUE;Categorical;
;5.4;q30hd_week;q30d_wk;table;-;Mental Health in the Past Week;De volgende vraag gaat over hoe u zich voelde in de afgelopen zeven dagen. Geeft u het antwoord dat het best uw gevoel weergeeft.  De afgelopen zeven dagen...;voelde ik me neerslachtig en somber;Nooit, Zelden, Soms, Vaak, Meestal, Voortdurend;The next question is about how you have felt over the past seven days. Give the answer that best reflects your feelings.  Over the past seven days…;I felt depressed and gloomy;Never, Rarely, Sometimes, Often, Usually, Constantly;TRUE;Categorical;
;5.5;q30hd_week;q30e_wk;table;-;Mental Health in the Past Week;De volgende vraag gaat over hoe u zich voelde in de afgelopen zeven dagen. Geeft u het antwoord dat het best uw gevoel weergeeft.  De afgelopen zeven dagen...;voelde ik me gelukkig;Nooit, Zelden, Soms, Vaak, Meestal, Voortdurend;The next question is about how you have felt over the past seven days. Give the answer that best reflects your feelings.  Over the past seven days…;I felt happy;Never, Rarely, Sometimes, Often, Usually, Constantly;TRUE;Categorical;
;6.1;q30hd_maand;q30a_mnd;table;-;Mental Health in the Past Month;De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. De afgelopen maand…;was ik erg zenuwachtig;Nooit, Zelden, Soms, Vaak, Meestal, Voortdurend;The next question is about how you've felt over the past month. Give you the answer that best reflects your feelings.  For the past month...;I felt very anxious;Never, Rarely, Sometimes, Often, Usually, Constantly;TRUE;Categorical;
;6.2;q30hd_maand;q30b_mdn;table;-;Mental Health in the Past Month;De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. De afgelopen maand…;zat ik zo erg in de put dat niets mij kon opvrolijken;Nooit, Zelden, Soms, Vaak, Meestal, Voortdurend;The next question is about how you've felt over the past month. Give you the answer that best reflects your feelings.  For the past month...;I felt so down that nothing could cheer me up;Never, Rarely, Sometimes, Often, Usually, Constantly;TRUE;Categorical;
;6.3;q30hd_maand;q30c_mnd;table;-;Mental Health in the Past Month;De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. De afgelopen maand…;voelde ik me kalm en rustig;Nooit, Zelden, Soms, Vaak, Meestal, Voortdurend;The next question is about how you've felt over the past month. Give you the answer that best reflects your feelings.  For the past month...;I felt calm and peaceful;Never, Rarely, Sometimes, Often, Usually, Constantly;TRUE;Categorical;
;6.4;q30hd_maand;q30d_mnd;table;-;Mental Health in the Past Month;De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. De afgelopen maand…;voelde ik me neerslachtig en somber;Nooit, Zelden, Soms, Vaak, Meestal, Voortdurend;The next question is about how you've felt over the past month. Give you the answer that best reflects your feelings.  For the past month...;I felt depressed and gloomy;Never, Rarely, Sometimes, Often, Usually, Constantly;TRUE;Categorical;
;6.5;q30hd_maand;q30e_mnd;table;-;Mental Health in the Past Month;De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. De afgelopen maand…;voelde ik me gelukkig;Nooit, Zelden, Soms, Vaak, Meestal, Voortdurend;The next question is about how you've felt over the past month. Give you the answer that best reflects your feelings.  For the past month...;I felt happy;Never, Rarely, Sometimes, Often, Usually, Constantly;TRUE;Categorical;
;8;SAH;;cat;-;Health;Gaat het met uw gezondheid beter of slechter dan in november vorig jaar?;;Veel slechter, Een beetje slechter, Gelijk,Een beetje beter, Veel beter;Is your health better or worse than last November?;;Much worse, A little worse, Same as , A little better, Much better;TRUE;Categorical;
;9.1;expectedduration;duration1;table;-;Expected Duration of Restrictions;Wanneer, denkt u, zullen de beperkingen die er nu zijn niet meer van kracht zijn, en zullen…;alle scholen weer open zijn op een gewone manier (dus bv. zonder om de dag of halve dagen naar school te gaan zoals vanaf 11 mei voor de basisscholen geldt);tegen eind juni, tussen juli en, eind augustus ,tussen september ,en het eind van het jaar ,in 2021 ,in 2022 of later;When do you think the restrictions that are now in place will no longer apply, and ...;all schools are open again in a normal way (e.g. without going to school every other day or half-day as is the case for primary schools from 11 May).;by the end of June, between July and the end of August, between September and the end of the year, in 2021, in 2022 or later;TRUE;Categorical;
