Variable,Type,Topic,Reference Period Other Than Survey Period,Links Wave 1,Links Wave 2,Links Wave 3,Links Wave 4,Links Wave 5
l_2m_infected,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q1>`, , , , 
l_2m_acquaintance_infected,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q1>`, , , , 
l_2m_hospital_if_infect_self,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q1>`, , , , 
l_2m_quarantine,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q1>`, , , , 
l_2m_infected_and_pass_on,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q1>`, , , , 
p_2m_infected,int,Health Beliefs, , ,:ref:`🔗 <w2e-q1header>`,:ref:`🔗 <w3e-q1header>`,:ref:`🔗 <w4e-q1header>`,:ref:`🔗 <w5e-q1header>`
p_2m_acquaintance_infected,int,Health Beliefs, , ,:ref:`🔗 <w2e-q1header>`,:ref:`🔗 <w3e-q1header>`,:ref:`🔗 <w4e-q1header>`,:ref:`🔗 <w5e-q1header>`
p_2m_hospital_if_infect_self,int,Health Beliefs, , ,:ref:`🔗 <w2e-q1header>`,:ref:`🔗 <w3e-q1header>`,:ref:`🔗 <w4e-q1header>`,:ref:`🔗 <w5e-q1header>`
p_2m_infected_and_pass_on,int,Health Beliefs, , ,:ref:`🔗 <w2e-q1header>`,:ref:`🔗 <w3e-q1header>`,:ref:`🔗 <w4e-q1header>`,:ref:`🔗 <w5e-q1header>`
l_2m_hospital_healthy_30,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q2>`, , , , 
l_2m_die_healthy_30,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q2>`, , , , 
l_2m_hospital_healthy_75,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q2>`, , , , 
l_2m_die_healthy_75,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q2>`, , , , 
l_2m_hospital_healthy_5,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q2>`, , , , 
l_2m_die_healthy_5,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q2>`, , , , 
l_2m_hospital_preexist_30,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q2>`, , , , 
l_2m_die_preexist_30,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q2>`, , , , 
l_2m_hospital_preexist_75,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q2>`, , , , 
l_2m_die_preexist_75,Ordered Categorical,Health Beliefs, ,:ref:`🔗 <w1e-q2>`, , , , 
avoid_busy_places,bool,Compliance, ,:ref:`🔗 <w1e-q3>`, , , , 
avoid_public_places,bool,Compliance, ,:ref:`🔗 <w1e-q3>`, , , , 
maintain_distance,bool,Compliance, ,:ref:`🔗 <w1e-q3>`, , , , 
adjust_school_work,bool,Compliance, ,:ref:`🔗 <w1e-q3>`, , , , 
quarantine_symptoms,bool,Compliance, ,:ref:`🔗 <w1e-q3>`, , , , 
quarantine_no_symptoms,bool,Compliance, ,:ref:`🔗 <w1e-q3>`, , , , 
no_avoidance_behaviors,bool,Compliance, ,:ref:`🔗 <w1e-q3>`, , , , 
effect_close_schools,Ordered Categorical,Expected Timespan, ,:ref:`🔗 <w1e-q6>`, , , , 
effect_close_sports,Ordered Categorical,Expected Timespan, ,:ref:`🔗 <w1e-q6>`, , , , 
effect_close_food_service,Ordered Categorical,Expected Timespan, ,:ref:`🔗 <w1e-q6>`, , , , 
effect_close_most_stores,Ordered Categorical,Expected Timespan, ,:ref:`🔗 <w1e-q6>`, , , , 
effect_forbid_hospital_visits,Ordered Categorical,Expected Timespan, ,:ref:`🔗 <w1e-q6>`, , , , 
effect_curfew_high_risk,Ordered Categorical,Expected Timespan, ,:ref:`🔗 <w1e-q6>`, , , , 
effect_curfew_non_crucial,Ordered Categorical,Expected Timespan, ,:ref:`🔗 <w1e-q6>`, , , , 
comply_curfew_self,category,Compliance, ,:ref:`🔗 <w1e-q10>`, , , , 
approp_gov_medical,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-q33>`, ,:ref:`🔗 <w3e-q33>`, , 
approp_gov_restrict_public_life,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-q33>`, ,:ref:`🔗 <w3e-q33>`, , 
approp_gov_econ_mitigation,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-q33>`, ,:ref:`🔗 <w3e-q33>`, , 
approp_gov_communication,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-q33>`, ,:ref:`🔗 <w3e-q33>`, , 
trust_gov,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-q32>`, , , , 
work_status_202002,category,Employment,202002.0,:ref:`🔗 <w1e-q13>`,:ref:`🔗 <w2e-q13>`, , , 
nr_children_below_12,Int,Childcare, ,:ref:`🔗 <w1e-q22>`,:ref:`🔗 <w2e-q22>`, , , 
cc_self_home,bool,Childcare, ,:ref:`🔗 <w1e-q23>`,:ref:`🔗 <w2e-q23>`, , , 
cc_partner_home,bool,Childcare, ,:ref:`🔗 <w1e-q23>`,:ref:`🔗 <w2e-q23>`, , , 
cc_older_siblings,bool,Childcare, ,:ref:`🔗 <w1e-q23>`,:ref:`🔗 <w2e-q23>`, , , 
cc_grand_parents,bool,Childcare, ,:ref:`🔗 <w1e-q23>`,:ref:`🔗 <w2e-q23>`, , , 
cc_other_relatives,bool,Childcare, ,:ref:`🔗 <w1e-q23>`,:ref:`🔗 <w2e-q23>`, , , 
cc_share_neighbors,bool,Childcare, ,:ref:`🔗 <w1e-q23>`,:ref:`🔗 <w2e-q23>`, , , 
cc_state,bool,Childcare, ,:ref:`🔗 <w1e-q23>`,:ref:`🔗 <w2e-q23>`, , , 
cc_ex_partner,bool,Childcare, ,:ref:`🔗 <w1e-q23>`,:ref:`🔗 <w2e-q23>`, , , 
cc_home_alone,bool,Childcare, ,:ref:`🔗 <w1e-q23>`,:ref:`🔗 <w2e-q23>`, , , 
cc_other,bool,Childcare, ,:ref:`🔗 <w1e-q23>`,:ref:`🔗 <w2e-q23>`, , , 
cc_other_str,object,Childcare, ,:ref:`🔗 <w1e-q23>`,:ref:`🔗 <w2e-q23>`, , , 
cc_emergency_helpful,Ordered Categorical,Childcare, ,:ref:`🔗 <w1e-q24>`, , , , 
cc_emergency_comment,object,Childcare, ,:ref:`🔗 <w1e-q25>`, , , , 
liked_survey,Ordered Categorical,Questionnaire, ,:ref:`🔗 <w1e-eva2h>`, , , , 
effect_mask,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q4>`, , , , 
effect_pray,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q4>`, , , , 
effect_wash_hands,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q4>`, , , , 
effect_doctor_ill,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q4>`, , , , 
effect_doctor_healthy,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q4>`, , , , 
effect_avoid_public_places,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q4>`, , , , 
effect_avoid_high_risk,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q4>`, , , , 
effect_avoid_hospital,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q4>`, , , , 
effect_avoid_gastro,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q4>`, , , , 
effect_avoid_public_transp,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q4>`, , , , 
contact_older_people,Ordered Categorical,Behavior, ,:ref:`🔗 <w1e-q5>`, , , , 
support_close_schools,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-q8>`, , , , 
support_close_cafes,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-q8>`, , , , 
support_close_most_shops,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-q8>`, , , , 
support_no_visitors,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-q8>`, , , , 
support_curfew_high_risk,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-q8>`, , , , 
support_curfew_non_crucial,Ordered Categorical,Policies, ,:ref:`🔗 <w1e-q8>`, , , , 
duration_restrictions_general,Ordered Categorical,Expected Timespan, ,:ref:`🔗 <w1e-q7>`,:ref:`🔗 <w2e-q7>`, , , 
comply_curfew_others,Int,compliance, ,:ref:`🔗 <w1e-q9>`, , , , 
comply_bc_civic,bool,Compliance, ,:ref:`🔗 <w1e-q11>`, , , , 
comply_bc_fear_punished,bool,Compliance, ,:ref:`🔗 <w1e-q11>`, , , , 
comply_bc_protect_self,bool,Compliance, ,:ref:`🔗 <w1e-q11>`, , , , 
comply_bc_protect_close,bool,Compliance, ,:ref:`🔗 <w1e-q11>`, , , , 
comply_bc_protect_all,bool,Compliance, ,:ref:`🔗 <w1e-q11>`, , , , 
comply_bc_high_risk,bool,Compliance, ,:ref:`🔗 <w1e-q11>`, , , , 
comply_bc_other,bool,Compliance, ,:ref:`🔗 <w1e-q11>`, , , , 
comply_bc_other_str,object,Compliance, ,:ref:`🔗 <w1e-q11>`, , , , 
disobey_bc_freedom,bool,Compliance, ,:ref:`🔗 <w1e-q12>`, , , , 
disobey_bc_not_punish,bool,Compliance, ,:ref:`🔗 <w1e-q12>`, , , , 
disobey_bc_unjustified,bool,Compliance, ,:ref:`🔗 <w1e-q12>`, , , , 
disobey_bc_obligations,bool,Compliance, ,:ref:`🔗 <w1e-q12>`, , , , 
disobey_bc_ineffective,bool,Compliance, ,:ref:`🔗 <w1e-q12>`, , , , 
disobey_bc_unaffected,bool,Compliance, ,:ref:`🔗 <w1e-q12>`, , , , 
disobey_bc_bored,bool,Compliance, ,:ref:`🔗 <w1e-q12>`, , , , 
disobey_bc_other,bool,Compliance, ,:ref:`🔗 <w1e-q12>`, , , , 
disobey_bc_other_str,object,Compliance, ,:ref:`🔗 <w1e-q12>`, , , , 
hours_workplace_202002,int,Employment,202002.0,:ref:`🔗 <w1e-q14>`,:ref:`🔗 <w2e-q14>`, , , 
hours_home_202002,int,Employment,202002.0,:ref:`🔗 <w1e-q14>`,:ref:`🔗 <w2e-q14>`, , , 
hours_workplace,int,Employment, ,:ref:`🔗 <w1e-q14>`,:ref:`🔗 <w2e-q14>`,:ref:`🔗 <w3e-q14>`,:ref:`🔗 <w4e-q14>`,:ref:`🔗 <w5e-q14>`
hours_home,int,Employment, ,:ref:`🔗 <w1e-q14>`,:ref:`🔗 <w2e-q14>`,:ref:`🔗 <w3e-q14>`,:ref:`🔗 <w4e-q14>`,:ref:`🔗 <w5e-q14>`
hours_workplace_merge,int,Employment, , ,:ref:`🔗 <w2e-q14>`, , , 
hours_home_merge,int,Employment, , ,:ref:`🔗 <w2e-q14>`, , , 
empl_not_work_lessbusiness,bool,Employment, ,:ref:`🔗 <w1e-q15>`,:ref:`🔗 <w2e-q15>`, , , 
empl_not_work_infection_gov,bool,Employment, , ,:ref:`🔗 <w2e-q15>`, , , 
empl_not_work_infection_empl,bool,Employment, ,:ref:`🔗 <w1e-q15>`,:ref:`🔗 <w2e-q15>`, , , 
empl_not_work_care,bool,Employment, ,:ref:`🔗 <w1e-q15>`,:ref:`🔗 <w2e-q15>`, , , 
empl_not_work_fear_infection,bool,Employment, ,:ref:`🔗 <w1e-q15>`,:ref:`🔗 <w2e-q15>`, , , 
empl_not_work_sick,bool,Employment, , ,:ref:`🔗 <w2e-q15>`, , , 
empl_not_work_vacation,bool,Employment, , ,:ref:`🔗 <w2e-q15>`, , , 
empl_not_work_fired,bool,Employment, ,:ref:`🔗 <w1e-q15>`,:ref:`🔗 <w2e-q15>`, , , 
empl_not_work_other,bool,Employment, ,:ref:`🔗 <w1e-q15>`,:ref:`🔗 <w2e-q15>`, , , 
empl_not_work_other_str,object,Employment, ,:ref:`🔗 <w1e-q15>`,:ref:`🔗 <w2e-q15>`, , , 
empl_less_work_lessbusiness,bool,Employment, ,:ref:`🔗 <w1e-q16>`,:ref:`🔗 <w2e-q16>`, , , 
empl_less_work_infection_gov,bool,Employment, , ,:ref:`🔗 <w2e-q16>`, , , 
empl_less_work_infection_empl,bool,Employment, ,:ref:`🔗 <w1e-q16>`,:ref:`🔗 <w2e-q16>`, , , 
empl_less_work_care,bool,Employment, ,:ref:`🔗 <w1e-q16>`,:ref:`🔗 <w2e-q16>`, , , 
empl_less_work_fear_infection,bool,Employment, ,:ref:`🔗 <w1e-q16>`,:ref:`🔗 <w2e-q16>`, , , 
empl_less_work_sick,bool,Employment, , ,:ref:`🔗 <w2e-q16>`, , , 
empl_less_work_vacation,bool,Employment, , ,:ref:`🔗 <w2e-q16>`, , , 
empl_less_work_unrel_corona,bool,Employment, , ,:ref:`🔗 <w2e-q16>`, , , 
empl_less_work_other,bool,Employment, ,:ref:`🔗 <w1e-q16>`,:ref:`🔗 <w2e-q16>`, , , 
empl_less_work_other_str,object,Employment, ,:ref:`🔗 <w1e-q16>`,:ref:`🔗 <w2e-q16>`, , , 
selfempl_less_business,bool,Finances, ,:ref:`🔗 <w1e-q17>`,:ref:`🔗 <w2e-q17>`, , , 
selfempl_less_infection_gov,bool,Finances, , ,:ref:`🔗 <w2e-q17>`, , , 
selfempl_less_infection_self,bool,Finances, , ,:ref:`🔗 <w2e-q17>`, , , 
selfempl_less_care,bool,Finances, ,:ref:`🔗 <w1e-q17>`,:ref:`🔗 <w2e-q17>`, , , 
selfempl_less_closure,bool,Finances, ,:ref:`🔗 <w1e-q17>`, , , , 
