Variable,Links Wave 2,Type,Topic,Reference Period Other Than Survey Period,Question Id,Routing
p_2m_infected,:ref:`🔗 <w2e-q1header>`,float,Health Beliefs, ,q1a, 
p_2m_acquaintance_infected,:ref:`🔗 <w2e-q1header>`,float,Health Beliefs, ,q1b, 
p_2m_hospital_if_infect_self,:ref:`🔗 <w2e-q1header>`,float,Health Beliefs, ,q1c, 
p_2m_infected_and_pass_on,:ref:`🔗 <w2e-q1header>`,float,Health Beliefs, ,q1e, 
work_status_202002,:ref:`🔗 <w2e-q13>`,Categorical,Employment,202002,q13,if (participate_wave1 != 1) 
nr_children_below_12,:ref:`🔗 <w2e-q22>`,Int,Childcare, ,q22,if (participate_wave1 != 1) 
cc_self_home,:ref:`🔗 <w2e-q23>`,bool,Childcare, ,q23__1,if (q22 > 0) 
cc_partner_home,:ref:`🔗 <w2e-q23>`,bool,Childcare, ,q23__2,if (q22 > 0) 
cc_older_siblings,:ref:`🔗 <w2e-q23>`,bool,Childcare, ,q23__3,if (q22 > 0) 
cc_grand_parents,:ref:`🔗 <w2e-q23>`,bool,Childcare, ,q23__4,if (q22 > 0) 
cc_other_relatives,:ref:`🔗 <w2e-q23>`,bool,Childcare, ,q23__5,if (q22 > 0) 
cc_share_neighbors,:ref:`🔗 <w2e-q23>`,bool,Childcare, ,q23__6,if (q22 > 0) 
cc_state,:ref:`🔗 <w2e-q23>`,bool,Childcare, ,q23__7,if (q22 > 0) 
cc_ex_partner,:ref:`🔗 <w2e-q23>`,bool,Childcare, ,q23__8,if (q22 > 0) 
cc_home_alone,:ref:`🔗 <w2e-q23>`,bool,Childcare, ,q23__9,if (q22 > 0) 
cc_other,:ref:`🔗 <w2e-q23>`,bool,Childcare, ,q23__10,if (q22 > 0) 
cc_other_str,:ref:`🔗 <w2e-q23>`,str,Childcare, ,q23and,if (q22 > 0) 
duration_restrictions_general,:ref:`🔗 <w2e-q7>`,Ordered Categorical,Expected Timespan, ,q7, 
hours_workplace_202002,:ref:`🔗 <w2e-q14>`,float,Employment,202002,q14a_1_q14werk_1,if ((q13 = 1 || q13 = 2) && participate_wave1 != 1)
hours_home_202002,:ref:`🔗 <w2e-q14>`,float,Employment,202002,q14a_1_q14thuis_1,if ((q13 = 1 || q13 = 2) && participate_wave1 != 1)
hours_workplace,:ref:`🔗 <w2e-q14>`,float,Employment, ,q14c_q14werk,if ((p_q13 = 1 || p_q13 = 2) && participate_wave1 = 1)
hours_home,:ref:`🔗 <w2e-q14>`,float,Employment, ,q14c_q14thuis,if ((p_q13 = 1 || p_q13 = 2) && participate_wave1 = 1)
hours_workplace_merge,:ref:`🔗 <w2e-q14>`,float,Employment, ,q14b_1_q14werk_1,if ((q13 = 1 || q13 = 2) && participate_wave1 != 1)
hours_home_merge,:ref:`🔗 <w2e-q14>`,float,Employment, ,q14b_1_q14thuis_1,if ((q13 = 1 || q13 = 2) && participate_wave1 != 1)
empl_not_work_lessbusiness,:ref:`🔗 <w2e-q15>`,bool,Employment, ,q15__1, 
empl_not_work_infection_gov,:ref:`🔗 <w2e-q15>`,bool,Employment, ,q15__2, 
empl_not_work_infection_empl,:ref:`🔗 <w2e-q15>`,bool,Employment, ,q15__3, 
empl_not_work_care,:ref:`🔗 <w2e-q15>`,bool,Employment, ,q15__4, 
empl_not_work_fear_infection,:ref:`🔗 <w2e-q15>`,bool,Employment, ,q15__5, 
empl_not_work_sick,:ref:`🔗 <w2e-q15>`,bool,Employment, ,q15__6, 
empl_not_work_vacation,:ref:`🔗 <w2e-q15>`,bool,Employment, ,q15__7, 
empl_not_work_fired,:ref:`🔗 <w2e-q15>`,bool,Employment, ,q15__8, 
empl_not_work_other,:ref:`🔗 <w2e-q15>`,bool,Employment, ,q15__9, 
empl_not_work_other_str,:ref:`🔗 <w2e-q15>`,str,Employment, ,q15and, 
empl_less_work_lessbusiness,:ref:`🔗 <w2e-q16>`,bool,Employment, ,q16__1,if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) 
empl_less_work_infection_gov,:ref:`🔗 <w2e-q16>`,bool,Employment, ,q16__2,if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) 
empl_less_work_infection_empl,:ref:`🔗 <w2e-q16>`,bool,Employment, ,q16__3,if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) 
empl_less_work_care,:ref:`🔗 <w2e-q16>`,bool,Employment, ,q16__4,if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) 
empl_less_work_fear_infection,:ref:`🔗 <w2e-q16>`,bool,Employment, ,q16__5,if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) 
empl_less_work_sick,:ref:`🔗 <w2e-q16>`,bool,Employment, ,q16__6,if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) 
empl_less_work_vacation,:ref:`🔗 <w2e-q16>`,bool,Employment, ,q16__7,if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) 
empl_less_work_unrel_corona,:ref:`🔗 <w2e-q16>`,bool,Employment, ,q16__8,if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) 
empl_less_work_other,:ref:`🔗 <w2e-q16>`,bool,Employment, ,q16__9,if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) 
empl_less_work_other_str,:ref:`🔗 <w2e-q16>`,str,Employment, ,q16and,if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) 
selfempl_less_business,:ref:`🔗 <w2e-q17>`,bool,Finances, ,q17__1,if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) 
selfempl_less_infection_gov,:ref:`🔗 <w2e-q17>`,bool,Finances, ,q17__2,if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) 
selfempl_less_infection_self,:ref:`🔗 <w2e-q17>`,bool,Finances, ,q17__3,if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) 
selfempl_less_care,:ref:`🔗 <w2e-q17>`,bool,Finances, ,q17__4,if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) 
selfempl_less_sick,:ref:`🔗 <w2e-q17>`,bool,Finances, ,q17__5,if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) 
selfempl_less_vacation,:ref:`🔗 <w2e-q17>`,bool,Finances, ,q17__6,if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) 
selfempl_less_unrel_corona,:ref:`🔗 <w2e-q17>`,bool,Finances, ,q17__7,if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) 
selfempl_less_other,:ref:`🔗 <w2e-q17>`,bool,Finances, ,q17__8,if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) 
selfempl_less_other_str,:ref:`🔗 <w2e-q17>`,str,Finances, ,q17and,if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) 
concern_4w_bored,:ref:`🔗 <w2e-q31>`,Ordered Categorical,Mental Health, ,q31a, 
concern_4w_serious_ill,:ref:`🔗 <w2e-q31>`,Ordered Categorical,Mental Health, ,q31b, 
concern_4w_infect_others,:ref:`🔗 <w2e-q31>`,Ordered Categorical,Mental Health, ,q31c, 
concern_4w_loved_ill,:ref:`🔗 <w2e-q31>`,Ordered Categorical,Mental Health, ,q31d, 
concern_4w_unemp,:ref:`🔗 <w2e-q31>`,Ordered Categorical,Mental Health, ,q31e1, 
concern_4w_company,:ref:`🔗 <w2e-q31>`,Ordered Categorical,Mental Health, ,q31e2, 
concern_4w_new_job,:ref:`🔗 <w2e-q31>`,Ordered Categorical,Mental Health, ,q31e3, 
concern_4w_food,:ref:`🔗 <w2e-q31>`,Ordered Categorical,Mental Health, ,q31f, 
concern_4w_health_care,:ref:`🔗 <w2e-q31>`,Ordered Categorical,Mental Health, ,q31g, 
concern_4w_fav_shop_bancrupt,:ref:`🔗 <w2e-q31>`,Ordered Categorical,Mental Health, ,q31h, 
infection_diagnosed,:ref:`🔗 <w2e-InfectionDiagnosed>`,Categorical,Health Beliefs, ,InfectionDiagnosed, 
infection_perceived,:ref:`🔗 <w2e-SelfPerceivedInfection>`,Categorical,Health Beliefs, ,SelfPerceivedInfection,if (InfectionDiagnosed != 1) 
is_smoking,:ref:`🔗 <w2e-rook>`,Categorical,Drugs, ,rook, 
is_smoking_cigarettes,:ref:`🔗 <w2e-he035>`,bool,Drugs, ,he035__1,if (rook < 3) 
is_smoking_pipe,:ref:`🔗 <w2e-he035>`,bool,Drugs, ,he035__2,if (rook < 3) 
is_smoking_cigar,:ref:`🔗 <w2e-he035>`,bool,Drugs, ,he035__3,if (rook < 3) 
is_smoking_ecig,:ref:`🔗 <w2e-he035>`,bool,Drugs, ,he035__4,if (rook < 3) 
nr_cigarettes_day,:ref:`🔗 <w2e-he036a>`,float,Drugs, ,he036a,if he035__1=1 
nr_pipe_day,:ref:`🔗 <w2e-he036b>`,float,Drugs, ,he036b,if he035__2=1 
nr_cigar_day,:ref:`🔗 <w2e-he036c>`,float,Drugs, ,he036c,if he035__3=1
nr_ecig_day,:ref:`🔗 <w2e-he036d>`,float,Drugs, ,he036d,if he035__4=1 
is_drinking_alcohol,:ref:`🔗 <w2e-he038>`,bool,Drugs, ,he038, 
alcohol_amount,:ref:`🔗 <w2e-he039>`,Categorical,Drugs, ,he039,if (he038 = 1)
alcohol_beer,:ref:`🔗 <w2e-he040>`,bool,Drugs, ,he040__1,if (he038 = 1) 
alcohol_beer_strong,:ref:`🔗 <w2e-he040>`,bool,Drugs, ,he040__2,if (he038 = 1) 
alcohol_liquor,:ref:`🔗 <w2e-he040>`,bool,Drugs, ,he040__3,if (he038 = 1) 
alcohol_sherry,:ref:`🔗 <w2e-he040>`,bool,Drugs, ,he040__4,if (he038 = 1) 
alcohol_wine,:ref:`🔗 <w2e-he040>`,bool,Drugs, ,he040__5,if (he038 = 1) 
alcohol_alcopop,:ref:`🔗 <w2e-he040>`,bool,Drugs, ,he040__6,if (he038 = 1) 
alcohol_other,:ref:`🔗 <w2e-he040>`,bool,Drugs, ,he040__7,if (he038 = 1) 
alcohol_other_1,:ref:`🔗 <w2e-he040>`,str,Drugs, ,he040and1,if he040__7=1
alcohol_other_2,:ref:`🔗 <w2e-he040>`,str,Drugs, ,he040and2,if he040__7=1
beer_glasses,:ref:`🔗 <w2e-he040a>`,float,Drugs, ,he040a_v1,if he040__1=1 
beer_hliter_glasses,:ref:`🔗 <w2e-he040a>`,float,Drugs, ,he040a_v2,if he040__1=1 
beer_hliter_bottles,:ref:`🔗 <w2e-he040a>`,float,Drugs, ,he040a_v3,if he040__1=1 
beer_bottles,:ref:`🔗 <w2e-he040a>`,float,Drugs, ,he040a_v4,if he040__1=1 
