Variable,Links Wave 3,Type,Topic,Reference Period Other Than Survey Period
p_2m_infected,:ref:`🔗 <w3e-q1header>`,float,Health Beliefs, 
p_2m_acquaintance_infected,:ref:`🔗 <w3e-q1header>`,float,Health Beliefs, 
p_2m_hospital_if_infect_self,:ref:`🔗 <w3e-q1header>`,float,Health Beliefs, 
p_2m_infected_and_pass_on,:ref:`🔗 <w3e-q1header>`,float,Health Beliefs, 
approp_gov_medical,:ref:`🔗 <w3e-q33>`,Ordered Categorical,Policies, 
approp_gov_restrict_public_life,:ref:`🔗 <w3e-q33>`,Ordered Categorical,Policies, 
approp_gov_econ_mitigation,:ref:`🔗 <w3e-q33>`,Ordered Categorical,Policies, 
approp_gov_communication,:ref:`🔗 <w3e-q33>`,Ordered Categorical,Policies, 
hours_workplace,:ref:`🔗 <w3e-q14>`,float,Employment, 
hours_home,:ref:`🔗 <w3e-q14>`,float,Employment, 
p_low_or_no_income,:ref:`🔗 <w3e-q28>`,Int,Finances, 
low_inc_cope_savings,:ref:`🔗 <w3e-q29>`,bool,Finances, 
low_inc_cope_loan,:ref:`🔗 <w3e-q29>`,bool,Finances, 
low_inc_cope_family,:ref:`🔗 <w3e-q29>`,bool,Finances, 
low_inc_cope_unemp,:ref:`🔗 <w3e-q29>`,bool,Finances, 
low_inc_cope_retire,:ref:`🔗 <w3e-q29>`,bool,Finances, 
low_inc_cope_soc_assist,:ref:`🔗 <w3e-q29>`,bool,Finances, 
low_inc_cope_other,:ref:`🔗 <w3e-q29>`,bool,Finances, 
low_inc_cope_other_str,:ref:`🔗 <w3e-q29>`,str,Finances, 
nervous_7d,:ref:`🔗 <w3e-q30>`,Ordered Categorical,Mental Health, 
depressed_7d,:ref:`🔗 <w3e-q30>`,Ordered Categorical,Mental Health, 
calm_7d,:ref:`🔗 <w3e-q30>`,Ordered Categorical,Mental Health, 
gloomy_7d,:ref:`🔗 <w3e-q30>`,Ordered Categorical,Mental Health, 
happy_7d,:ref:`🔗 <w3e-q30>`,Ordered Categorical,Mental Health, 
concern_4w_bored,:ref:`🔗 <w3e-q31>`,Ordered Categorical,Mental Health, 
concern_4w_serious_ill,:ref:`🔗 <w3e-q31>`,Ordered Categorical,Mental Health, 
concern_4w_infect_others,:ref:`🔗 <w3e-q31>`,Ordered Categorical,Mental Health, 
concern_4w_loved_ill,:ref:`🔗 <w3e-q31>`,Ordered Categorical,Mental Health, 
concern_4w_unemp,:ref:`🔗 <w3e-q31>`,Ordered Categorical,Mental Health, 
concern_4w_company,:ref:`🔗 <w3e-q31>`,Ordered Categorical,Mental Health, 
concern_4w_new_job,:ref:`🔗 <w3e-q31>`,Ordered Categorical,Mental Health, 
concern_4w_food,:ref:`🔗 <w3e-q31>`,Ordered Categorical,Mental Health, 
concern_4w_health_care,:ref:`🔗 <w3e-q31>`,Ordered Categorical,Mental Health, 
concern_4w_fav_shop_bancrupt,:ref:`🔗 <w3e-q31>`,Ordered Categorical,Mental Health, 
p_2m_employee_keep,:ref:`🔗 <w3e-q26>`,Int,Employment, 
p_2m_employee_keep_gov,:ref:`🔗 <w3e-q26>`,Int,Employment, 
p_2m_employee_other,:ref:`🔗 <w3e-q26>`,Int,Employment, 
p_2m_employee_new_job,:ref:`🔗 <w3e-q26>`,Int,Employment, 
p_2m_employee_unemployed,:ref:`🔗 <w3e-q26>`,Int,Employment, 
infection_diagnosed,:ref:`🔗 <w3e-InfectionDiagnosed>`,Categorical,Health Beliefs, 
infection_perceived,:ref:`🔗 <w3e-SelfPerceivedInfection>`,Categorical,Health Beliefs, 
nervous_month,:ref:`🔗 <w3e-q30hd_maand>`,Ordered Categorical,Mental Health, 
depressed_month,:ref:`🔗 <w3e-q30hd_maand>`,Ordered Categorical,Mental Health, 
calm_month,:ref:`🔗 <w3e-q30hd_maand>`,Ordered Categorical,Mental Health, 
gloomy_month,:ref:`🔗 <w3e-q30hd_maand>`,Ordered Categorical,Mental Health, 
happy_month,:ref:`🔗 <w3e-q30hd_maand>`,Ordered Categorical,Mental Health, 
health_comparison_6m,:ref:`🔗 <w3e-SAH>`,Ordered Categorical,Health Beliefs, 
duration_restrictions_schools,:ref:`🔗 <w3e-expectedduration>`,Ordered Categorical,Expected Timespan, 
duration_restrictions_cafes,:ref:`🔗 <w3e-expectedduration>`,Ordered Categorical,Expected Timespan, 
duration_restrictions_holidays,:ref:`🔗 <w3e-expectedduration>`,Ordered Categorical,Expected Timespan, 
duration_restrictions_econ,:ref:`🔗 <w3e-expectedduration>`,Ordered Categorical,Expected Timespan, 
work_status,:ref:`🔗 <w3e-EmploymentStatus>`,Categorical,Employment, 
day_off_leisure,:ref:`🔗 <w3e-vacsick>`,Int,Employment, 
day_off_childcare,:ref:`🔗 <w3e-vacsick>`,Int,Employment, 
day_off_other,:ref:`🔗 <w3e-vacsick>`,Int,Employment, 
day_off_sick,:ref:`🔗 <w3e-vacsick>`,Int,Employment, 
day_off_official,:ref:`🔗 <w3e-vacsick>`,Int,Employment, 
work_perc_home,:ref:`🔗 <w3e-work_perc>`,float,Employment, 
employer_application_now,:ref:`🔗 <w3e-q16a>`,Ordered Categorical,Policies, 
employer_application_togs,:ref:`🔗 <w3e-q16b>`,Ordered Categorical,Policies, 
employer_application_deferral,:ref:`🔗 <w3e-q16c>`,Ordered Categorical,Policies, 
self_application_now,:ref:`🔗 <w3e-q17a>`,Ordered Categorical,Policies, 
self_application_togs,:ref:`🔗 <w3e-q17b>`,Ordered Categorical,Policies, 
self_application_deferral,:ref:`🔗 <w3e-q17c>`,Ordered Categorical,Policies, 
self_application_tozo,:ref:`🔗 <w3e-q17d>`,Ordered Categorical,Policies, 
self_grekening,:ref:`🔗 <w3e-q17e>`,Ordered Categorical,Finances, 
self_used_apa,:ref:`🔗 <w3e-q17f_header>`,Ordered Categorical,Finances, 
self_used_guarantee,:ref:`🔗 <w3e-q17f_header>`,Ordered Categorical,Finances, 
self_used_go,:ref:`🔗 <w3e-q17f_header>`,Ordered Categorical,Finances, 
self_used_qredits,:ref:`🔗 <w3e-q17f_header>`,Ordered Categorical,Finances, 
self_used_loan_fund,:ref:`🔗 <w3e-q17f_header>`,Ordered Categorical,Finances, 
change_empl,:ref:`🔗 <w3e-change_empl>`,Categorical,Finances, 
change_selfempl,:ref:`🔗 <w3e-change_selfempl>`,Categorical,Finances, 
work_change_because_corona,:ref:`🔗 <w3e-q2>`,bool,Finances, 
month_lost_job,:ref:`🔗 <w3e-q4_header>`,Categorical,Finances, 
year_lost_job,:ref:`🔗 <w3e-q4_header>`,Categorical,Finances, 
workplace_pot_distance,:ref:`🔗 <w3e-distance>`,Ordered Categorical,Employment, 
e_retirement_202002,:ref:`🔗 <w3e-exp_pens_hd>`,Int,Finances,202002
e_retirement,:ref:`🔗 <w3e-exp_pens_hd>`,Int,Finances, 
retire_early_reason,:ref:`🔗 <w3e-pens_eerder>`,Categorical,Finances, 
retire_later_reason,:ref:`🔗 <w3e-pens_later>`,Categorical,Finances, 
p_year_employee_keep,:ref:`🔗 <w3e-q26>`,float,Employment, 
p_year_employee_keep_gov,:ref:`🔗 <w3e-q26>`,float,Employment, 
p_year_employee_new_job,:ref:`🔗 <w3e-q26>`,float,Employment, 
p_year_employee_unemployed,:ref:`🔗 <w3e-q26>`,float,Employment, 
p_year_employee_other,:ref:`🔗 <w3e-q26>`,float,Employment, 
p_3m_selfempl_normal,:ref:`🔗 <w3e-q27header>`,float,Employment, 
p_3m_selfempl_fewer,:ref:`🔗 <w3e-q27header>`,float,Employment, 
p_3m_selfempl_helped_by_gov,:ref:`🔗 <w3e-q27header>`,float,Employment, 
p_3m_selfempl_shutdown,:ref:`🔗 <w3e-q27header>`,float,Employment, 
p_3m_selfempl_other,:ref:`🔗 <w3e-q27header>`,float,Employment, 
p_year_selfempl_normal,:ref:`🔗 <w3e-Q27header_1>`,float,Employment, 
p_year_selfempl_fewer,:ref:`🔗 <w3e-Q27header_1>`,float,Employment, 
p_year_selfempl_helped_by_gov,:ref:`🔗 <w3e-Q27header_1>`,float,Employment, 
p_year_selfempl_shutdown,:ref:`🔗 <w3e-Q27header_1>`,float,Employment, 
p_year_selfempl_other,:ref:`🔗 <w3e-Q27header_1>`,float,Employment, 
p_3m_unemployed_job,:ref:`🔗 <w3e-q27header_unempl>`,float,Employment, 
p_3m_unemployed_educ,:ref:`🔗 <w3e-q27header_unempl>`,float,Employment, 
p_3m_unemployed_looking,:ref:`🔗 <w3e-q27header_unempl>`,float,Employment, 
p_3m_unemployed_not_looking,:ref:`🔗 <w3e-q27header_unempl>`,float,Employment, 
p_3m_unemployed_other,:ref:`🔗 <w3e-q27header_unempl>`,float,Employment, 
e_pension_cut,:ref:`🔗 <w3e-pens_gekort>`,Ordered Categorical,Finances, 
e_amount_pension_cut,:ref:`🔗 <w3e-korting>`,Int,Finances, 
activities_give_money,:ref:`🔗 <w3e-es4_uitspraken>`,Ordered Categorical,Behavior, 
activities_save_more,:ref:`🔗 <w3e-es4_uitspraken>`,Ordered Categorical,Behavior, 
activities_more_care,:ref:`🔗 <w3e-es4_uitspraken>`,Ordered Categorical,Behavior, 
activities_less_care,:ref:`🔗 <w3e-es4_uitspraken>`,Ordered Categorical,Behavior, 
activities_postpone_doctor,:ref:`🔗 <w3e-es4_uitspraken>`,Ordered Categorical,Behavior, 
activities_postpone_hospital,:ref:`🔗 <w3e-es4_uitspraken>`,Ordered Categorical,Behavior, 
activities_postpone_pickup_meds,:ref:`🔗 <w3e-es4_uitspraken>`,Ordered Categorical,Behavior, 
activities_less_physio,:ref:`🔗 <w3e-es4_uitspraken>`,Ordered Categorical,Behavior, 
activities_move_less,:ref:`🔗 <w3e-es4_uitspraken>`,Ordered Categorical,Behavior, 
activities_eat_healthy,:ref:`🔗 <w3e-es4_uitspraken>`,Ordered Categorical,Behavior, 
activities_lonely,:ref:`🔗 <w3e-es4_uitspraken>`,Ordered Categorical,Behavior, 
outside_no,:ref:`🔗 <w3e-es4_doelen>`,bool,Behavior, 
outside_garden,:ref:`🔗 <w3e-es4_doelen>`,bool,Behavior, 
outside_shopping,:ref:`🔗 <w3e-es4_doelen>`,bool,Behavior, 
outside_purchases,:ref:`🔗 <w3e-es4_doelen>`,bool,Behavior, 
outside_detour,:ref:`🔗 <w3e-es4_doelen>`,bool,Behavior, 
outside_contacts,:ref:`🔗 <w3e-es4_doelen>`,bool,Behavior, 
outside_care,:ref:`🔗 <w3e-es4_doelen>`,bool,Behavior, 
outside_volunteering,:ref:`🔗 <w3e-es4_doelen>`,bool,Behavior, 
outside_medical,:ref:`🔗 <w3e-es4_doelen>`,bool,Behavior, 
outside_other,:ref:`🔗 <w3e-es4_doelen>`,bool,Behavior, 
outside_other_str,:ref:`🔗 <w3e-es4_doelen>`,str,Behavior, 
have_children_prim_school,:ref:`🔗 <w3e-v0>`,bool,Background, 
have_children_sec_school,:ref:`🔗 <w3e-v0>`,bool,Background, 
no_children_prim_sec_school,:ref:`🔗 <w3e-v0>`,bool,Background, 
amount_children_primary,:ref:`🔗 <w3e-v0a>`,Int,Background, 
amount_children_sec,:ref:`🔗 <w3e-v0b>`,Int,Background, 
first_primary_gender,:ref:`🔗 <w3e-v1_bo>`,Categorical,Background, 
first_primary_birth,:ref:`🔗 <w3e-v1_bo>`,Int,Background, 
second_primary_gender,:ref:`🔗 <w3e-v1_bo>`,Categorical,Background, 
second_primary_birth,:ref:`🔗 <w3e-v1_bo>`,Int,Background, 
third_primary_gender,:ref:`🔗 <w3e-v1_bo>`,Categorical,Background, 
third_primary_birth,:ref:`🔗 <w3e-v1_bo>`,Int,Background, 
fourth_primary_gender,:ref:`🔗 <w3e-v1_bo>`,Categorical,Background, 
fourth_primary_birth,:ref:`🔗 <w3e-v1_bo>`,Int,Background, 
fifth_primary_gender,:ref:`🔗 <w3e-v1_bo>`,Categorical,Background, 
