new_name;reference period other than survey period;label_english;L_CoronavirusImpact_wave3_3p.dta;L_CoronavirusImpact_4.0p.dta;L_CoronavirusImpact_3p.dta;question_group;type;categories_english;ordered
l_2m_infected;;How likely do you think it is that you will become infected with the new coronavirus in the next 2 months?;;;q1a;q1;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain, has already happened;True
l_2m_acquaintance_infected;;How likely do you think it is that someone in your direct environment (family, friends, colleagues) will be infected with the new coronavirus in the next 2 months?;;;q1b;q1;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain, has already happened;True
l_2m_hospital_if_infect_self;;How likely do you think it is that you will need inpatient care if you became infected with the new coronavirus in the next 2 months?;;;q1c;q1;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain, has already happened;True
l_2m_quarantine;;How likely do you think it is that you will be quarantined in the next 2 months irrespective of whether you get infected or not?;;;q1d;q1;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain, has already happened;True
l_2m_infected_and_pass_on;;How likely do you think it is that you will get infected and infect others in the next to months?;;;q1e;q1;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain, has already happened;True
p_2m_infected;;;q1a;q1a;;q1header;float;;
p_2m_acquaintance_infected;;;q1b;q1b;;q1header;float;;
p_2m_hospital_if_infect_self;;;q1c;q1c;;q1header;float;;
p_2m_infected_and_pass_on;;;q1e;q1e;;q1header;float;;
l_2m_hospital_healthy_30;;How big do you think the chances are that an otherwise healthy 30 year old will have to go to the hospital?;;;q2a;q2;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;True
l_2m_die_healthy_30;;How big do you think the chances are that an otherwise healthy 30 year old will die?;;;q2b;q2;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;True
l_2m_hospital_healthy_75;;How big do you think the chances are that an otherwise healthy 75 year old will have to go to the hospital?;;;q2c1;q2;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;True
l_2m_die_healthy_75;;How big do you think the chances are that an otherwise healthy 75 year old will die?;;;q2d1;q2;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;True
l_2m_hospital_healthy_5;;How big do you think the chances are that an otherwise healthy 5 year old will have to go to the hospital?;;;q2e1;q2;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;True
l_2m_die_healthy_5;;How big do you think the chances are that an otherwise healthy 5 year old will die?;;;q2f1;q2;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;True
l_2m_hospital_preexist_30;;How big do you think the chances are that an 30 year old with diabetes and chronic cardiovascular disease will have to go to the hospital?;;;q2g1;q2;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;True
l_2m_die_preexist_30;;How big do you think the chances are that an 30 year old with diabetes and chronic cardiovascular disease will die?;;;q2h1;q2;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;True
l_2m_hospital_preexist_75;;How big do you think the chances are that an 75 year old with diabetes and chronic cardiovascular disease will have to go to the hospital?;;;q2i1;q2;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;True
l_2m_die_preexist_75;;How big do you think the chances are that an 75 year old with diabetes and chronic cardiovascular disease will die?;;;q2j1;q2;Categorical;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;True
avoid_busy_places;;I have avoided certain (busy) places;;;q3__1;q3;bool;;
avoid_public_places;;I have avoided public places;;;q3__2;q3;bool;;
maintain_distance;;I have maintained physical distance from other people (> 1.5m);;;q3__3;q3;bool;;
adjust_school_work;;I have adjusted my school / work situation;;;q3__4;q3;bool;;
quarantine_symptoms;;I have quarantined myself because I had symptoms.;;;q3__5;q3;bool;;
quarantine_no_symptoms;;I have quarantined myself even though I have no symptoms.;;;q3__6;q3;bool;;
no_avoidance_behaviors;;I have done none of the above;;;q3__7;q3;bool;;
effect_close_schools;;How effective do you think school and pre-k closures are in fighting the spread of coronavirus?;;;q6a;q6;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_close_sports;;How effective do you think is it to close sport establishments to fight the spread of coronavirus?;;;q6b;q6;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_close_food_service;;How effective do you think is it to close bars, cafes and restaurants to fight the spread of coronavirus?;;;q6c;q6;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_close_most_stores;;How effective do you think is it to close all stores except grocery stores and pharmacies to fight the spread of coronavirus?;;;q6d;q6;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_forbid_hospital_visits;;How effective do you think is it to forbid visits to hospitals, nursing homes and retirement homes to fight the spread of coronavirus?;;;q6e;q6;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_curfew_high_risk;;How effective do you think is it to enact a curfew (except on grocery shopping and necessary medical procedures) on over 70 year olds and people with preexisting conditions to fight the spread of coronavirus?;;;q6f;q6;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
effect_curfew_non_crucial;;How effective do you think is it to enact a curfew (except on grocery shopping and necessary medical procedures) on everyone except for people in critical professions to fight the spread of coronavirus?;;;q6g;q6;Categorical;not effective at all, hardly effective, somewhat effective, effective, very effective;True
comply_curfew_self;;Would you comply with a curfew?;;;q10;q10;Categorical;yes, no, critical occupation;False
approp_gov_medical;;Has the federal government taken enough action to safeguard medical coverage to fight the current epidemic?;q33a;;q33a;q33;Categorical;too few, rather too few, right amount, rather too many, too many ;True
approp_gov_restrict_public_life;;Has the federal government taken enough action in restricting the public life to fight the current epidemic?;q33b;;q33b;q33;Categorical;too few, rather too few, right amount, rather too many, too many ;True
approp_gov_econ_mitigation;;Has the federal government taken enough action to mitigate the economic repercussions to fight the current epidemic?;q33c;;q33c;q33;Categorical;too few, rather too few, right amount, rather too many, too many ;True
approp_gov_communication;;Has the federal government taken enough action communicating with the general public to fight the current epidemic?;q33d;;q33d;q33;Categorical;too few, rather too few, right amount, rather too many, too many ;True
trust_gov;;In general, how confident are you in the government?;;;q32;q32;Categorical;1 no confidence at all, 2, 3, 4, 5 very confident;True
work_status_202002;202002;Which of the following options describes your work situation at the beginning of March 2020 best?;;q13;q13;q13;Categorical;employed, self-emplyed, unemployed, retired, social assistance, student or trainee, homemaker;False
nr_children_below_12;;How many children under 12 are in your household?;;q22;q22;q22;Int;;
cc_self_home;;I stay at home.;;q23__1;q23__1;q23;bool;;
cc_partner_home;;My partner stays at home.;;q23__2;q23__2;q23;bool;;
