new_name;page;qid;id;layout;filter;group;question_dutch;subquestion_dutch;categories_dutch;question_english;subquestion_english;categories_english;ordered;type;nice_name_english
;1;intro;;open;-;Intro;Deze maand krijgt u opnieuw een vragenlijst over het coronavirus. Afgelopen maand is de vragenlijst over het coronavirus door ruim 5400 panelleden ingevuld. En dat is heel fijn, want zo krijgen onderzoekers een goed beeld van hoe in Nederland met de uitbraak wordt Omgegaan. Premier Rutte zei het al: dit raakt ons allemaal en is een van de zwaarste periodes in onze geschiedenis buiten oorlogstijd. Het is daarom belangrijk dat er veel onderzoek wordt gedaan. Deze keer hebben we onder andere vragen over hoe u zich voelt, over eventueel rooken drinkgedrag, en stellen we een aantal vragen opnieuw. Dat doen we om te kijken of er iets is veranderd in uw situatie of uw mening. U krijgt ook vragen over hoe u dacht over een aantal financiële zaken voordat het virus uitbrak en hoe u daar nu over denkt. In de komende periode krijgt u nog enkele vragenlijsten over het coronavirus.;;;This month you will receive another questionnaire about the coronavirus. Last month, the coronavirus questionnaire was completed by more than 5,400 panel members. And that's great, because it gives researchers a good idea of ​​how the outbreak is managed in the Netherlands. Prime Minister Rutte said it all: this affects us all and is one of the most difficult periods in our history outside wartime. It is therefore important that a lot of research is done. This time we have questions about how you feel, about smoking and drinking behavior, and we ask a number of questions again. We do this to see if anything has changed in your situation or your opinion. You also get questions about how you felt about some of the financial issues before the virus broke out and how you feel about it now. In the coming period you will receive some questionnaires about the coronavirus.;;;;none;
;2;InfectionDiagnosed;;cat;-;Infection Diagnosed;Heeft een huisarts of een ander medisch deskundige bij u de diagnose gesteld dat u besmet bent met het coronavirus (Covid-19)?;;Ja die diagnose is bij mij gesteld, Nee, Het is nog niet zeker;Has a doctor or another healthcare professional diagnosed you with the coronavirus (COVID-19)?;;Yes I have been diagnosed with it, No, Unsure;1;Categorical;
;3;SelfPerceivedInfection;;cat;-;Self-perceived Infection;Denkt u zelf dat u besmet bent met het coronavirus (Covid-19)?;;Ja, Nee, Ik weet het niet;Do you think you’ve been infected with the coronavirus (COVID-19)?;;Yes, No, Unsure;1;Categorical;
;4.1;q1header;q1a;grid;-;Subjective Risks;"Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden
Gebeuren? U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";u wordt besmet;;On a scale of 0 to 100 percent, how likely do you think that the following events will happen in the the next three months?;You will be infected;;;float;
;4.2;q1header;q1b;grid;-;Subjective Risks;"Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden
Gebeuren? U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";iemand in uw directe omgeving (familie, vrienden, collega’s) wordt besmet;;On a scale of 0 to 100 percent, how likely do you think that the following events will happen in the the next three months?;Someone in your direct environment (family, friends, colleagues) will be infected;;;float;
;4.3;q1header;q1c;grid;-;Subjective Risks;"Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden
Gebeuren? U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";u moet naar het ziekenhuis als u wordt besmet;;On a scale of 0 to 100 percent, how likely do you think that the following events will happen in the the next three months?;You will have to go to the hospital if you get infected   ;;;float;
;4.4;q1header;q1d;grid;-;Subjective Risks;"Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden
Gebeuren? U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";u wordt besmet en u besmet iemand anders;;On a scale of 0 to 100 percent, how likely do you think that the following events will happen in the the next three months?;You will be infected and you infect someone else;;;float;
;5;q7;;cat;-;Expected Duration of Restrictions;"De regering heeft een aantal maatregelen genomen. Tot hoe lang denkt u dat de
beperkingen die er nu zijn (in het alledaagse leven) van kracht zullen blijven?";;tot en met uiterlijk 28 april, zoals aangekondigd op 31 maart, minstens tot en met 28 april, maar tot minder dan 2 maanden vanaf vandaag, tussen 2 en 4 maanden vanaf vandaag, tussen 4 en 8 maanden vanaf vandaag, voor langer dan 12 maanden;The government has adopted a number of measures … For how long do you think that the restrictions in place now (in everyday life) will remain in effect?;;until April 28 at the latest, as announced on March 31, at least until April 28, but less than 2 months from today, between 2 and 4 months from today, between 4 and 8 months from today, between 8 and 12 months from today, for more than 12 months;1;Categorical;
;6;rook;;cat;-;Smoking;Nu volgen er enkele vragen over roken en drankgebruik. Rookt u op dit moment?;;ja, nee ik ben gestopt, nee ik heb nooit gerookt;The next few questions are about smoking and drinking. Do you currently smoke?;;Yes, No I quit, No I never smoked;1;Categorical;
;7.1;he035;;multi;rook;Smoking Type;Wat rook u? Meerdere antwoorden mogelijk.;sigaretten (inclusief shag);;What do you smoke? Multiple answers possible;cigarettes (including rolling tobacco);;;bool;
;7.2;he035;;multi;rook;Smoking Type;Wat rook u? Meerdere antwoorden mogelijk.;pijp;;What do you smoke? Multiple answers possible;pipe;;;bool;
;7.3;he035;;multi;rook;Smoking Type;Wat rook u? Meerdere antwoorden mogelijk.;sigaartjes of sigaren;;What do you smoke? Multiple answers possible;cigars or cigarillos;;;bool;
;7.4;he035;;multi;rook;Smoking Type;Wat rook u? Meerdere antwoorden mogelijk.;E-sigaretten;;What do you smoke? Multiple answers possible;E-cigarettes;;;bool;
;8;he036a;;open;he035;Cigarette Consumption;Hoeveel sigaretten (inclusief shag) rook u gemiddeld per dag?;;;How many cigarettes (including rolling tobacco) do you smoke on average per day?;;;;int;
;9;he036b;;open;he035;Pipes Consumption;Hoeveel pijpen rook u gemiddeld per dag?;;;How many pipes do you smoke on average per day?;;;;int;
;10;he036c;;open;he035;Cigar Consumption;Hoeveel sigaartjes of sigaren rook u gemiddeld per dag?;;;How many cigars or cigarillos do you smoke on average per day?;;;;int;
