page;id;qid;layout;filter;group;question_dutch;subquestion_dutch;question_english;subquestion_english;type;categories_dutch;categories_english
0;intro;intro;open;-;Introduction;"Deze maand krijgt u de vierde vragenlijst uit de reeks “Corona-uitbraak in Nederland” over hoe het coronavirus van invloed is op uw dagelijkse leven. Ook als u de eerdere drie vragenlijsten niet hebt ingevuld, kunt u meedoen.

Een aantal van de vragen uit de eerste drie vragenlijsten wordt nu opnieuw aan u voorgelegd, om te kijken of uw situatie na de genomen maatregelen is veranderd ten opzichte van toen de maatregelen net waren ingevoerd.

Bent u nieuwsgierig wat met uw antwoorden worden gedaan? Kijkt u dan eens op de website voor LISS panelleden: www.lisspanel.nl

Ook nu weer: bedankt alvast voor het meedoen!";;"This month you will receive the fourth questionnaire from the series “Corona outbreak in the Netherlands” about how the coronavirus affects your daily life. You can also participate if you have not completed the previous three questionnaires.

Some of the questions in the first three questionnaires are now being put to you again to see if your situation has changed after the measures taken compared to when the measures were just introduced.

Are you curious about what will be done with your answers? Take a look at the website for LISS panel members: www.lisspanel.nl

Again: thanks in advance for participating!

";;;;
2.1;q1a;q1header;grid;-;Subjective Risks;Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden gebeuren? U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;u wordt besmet;On a scale of 0 to 100 percent, how likely do you think that the following events will happen in the the next three months?;You will be infected;float;;
2.2;q1b;q1header;grid;-;Subjective Risks;Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden gebeuren? U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;iemand in uw directe omgeving (familie, vrienden, collega’s) wordt besmet;On a scale of 0 to 100 percent, how likely do you think that the following events will happen in the the next three months?;Someone in your direct environment (family, friends, colleagues) will be infected;float;;
2.3;q1c;q1header;grid;-;Subjective Risks;Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden gebeuren? U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;u moet naar het ziekenhuis als u wordt besmet;On a scale of 0 to 100 percent, how likely do you think that the following events will happen in the the next three months?;You will have to go to the hospital if you get infected   ;float;;
2.4;q1e;q1header;grid;-;Subjective Risks;Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden gebeuren? U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;u wordt besmet en u besmet iemand anders;On a scale of 0 to 100 percent, how likely do you think that the following events will happen in the the next three months?;You will be infected and you infect someone else;float;;
3.01;q30a_mnd;q30hd_maand;table;-;Mental Health in the Past Month;De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. De afgelopen maand...;was ik erg zenuwachtig;The next question is about how you have felt over the past seven days. Give the answer that best reflects your feelings.  Over the past seven days…;I felt very anxious;Categorical;Nooit, Zelden, Soms, Vaak ,Meestal, Voortdurend;Never, Seldomly, Sometimes, Often, Usually, Constantly
3.02;q30b_mnd;q30hd_maand;table;-;Mental Health in the Past Month;De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. De afgelopen maand...;zat ik zo erg in de put dat niets mij kon opvrolijken;The next question is about how you have felt over the past seven days. Give the answer that best reflects your feelings.  Over the past seven days…;I felt so down that nothing could cheer me up;Categorical;Nooit, Zelden, Soms, Vaak ,Meestal, Voortdurend;Never, Seldomly, Sometimes, Often, Usually, Constantly
3.03;q30c_mnd;q30hd_maand;table;-;Mental Health in the Past Month;De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. De afgelopen maand...;voelde ik me kalm en rustig;The next question is about how you have felt over the past seven days. Give the answer that best reflects your feelings.  Over the past seven days…;I felt calm and peaceful;Categorical;Nooit, Zelden, Soms, Vaak ,Meestal, Voortdurend;Never, Seldomly, Sometimes, Often, Usually, Constantly
3.04;q30d_mnd;q30hd_maand;table;-;Mental Health in the Past Month;De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. De afgelopen maand...;voelde ik me neerslachtig en somber;The next question is about how you have felt over the past seven days. Give the answer that best reflects your feelings.  Over the past seven days…;I felt depressed and gloomy;Categorical;Nooit, Zelden, Soms, Vaak ,Meestal, Voortdurend;Never, Seldomly, Sometimes, Often, Usually, Constantly
3.05;q30e_mnd;q30hd_maand;table;-;Mental Health in the Past Month;De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. De afgelopen maand...;voelde ik me gelukkig;The next question is about how you have felt over the past seven days. Give the answer that best reflects your feelings.  Over the past seven days…;I felt happy;Categorical;Nooit, Zelden, Soms, Vaak ,Meestal, Voortdurend;Never, Seldomly, Sometimes, Often, Usually, Constantly
