page;id;qid;layout;filter;group;question_dutch;subquestion_dutch;question_english;subquestion_english;type;categories_dutch;categories_english;new_name
1.01;intro;intro;open;-;Introduction;"Deze maand krijgt u de vijfde vragenlijst uit de reeks “Corona-uitbraak in Nederland” over hoe het coronavirus van invloed is op uw dagelijkse leven. Ook als u de eerdere vier vragenlijsten niet hebt ingevuld, kunt u meedoen.

Een aantal van de vragen uit de eerste vier vragenlijsten wordt nu opnieuw aan u voorgelegd. Ook nu weer is het belangrijk dat u meedoet. Tijdens de coronacrisis is inzicht in de actuele ontwikkelingen van groot belang voor de keuzes die beleidsmakers, bedrijven en bijvoorbeeld werkenden gaan maken. En u kunt daarbij helpen.

Ook nu weer: bedankt alvast voor het meedoen!";;"This month you will receive the fifth questionnaire from the series ""Corona outbreak in the Netherlands"" on how the coronavirus affects your daily life. Even if you have not completed the previous four questionnaires, you can participate.

Some of the questions from the first four questionnaires will now be presented to you again. Again, it is important that you participate. During the corona crisis, insight into current developments is of great importance for the choices that policymakers, companies and, for example, employees are going to make. And you can help.

Once again: thank you for participating!";;;;;
2.01;InfectionDiagnosed;InfectionDiagnosed;cat;-;InfectionDiagnosed;Heeft een huisarts of een ander medisch deskundige bij u de diagnose gesteld dat u besmet bent (geweest) met het coronavirus (Covid-19)?;;Has a general practitioner or other medical professional diagnosed that you are or have been infected with the coronavirus (Covid-19)?;;Categorical;Ja, die diagnose is bij mij gesteld|Nee|Het is nog niet zeker;yes, I have been diagnosed with it|no|unsure;
3.01;q1a;q1header;grid;-;Subjective Risks;"Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden gebeuren?
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";u wordt besmet;"What do you think the chances are that the following things will happen in the next three months?
You can answer this question on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes.";You will be infected;int;;;
3.02;q1b;q1header;grid;-;Subjective Risks;"Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden gebeuren?
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";iemand in uw directe omgeving (familie, vrienden, collega’s) wordt besmet;"What do you think the chances are that the following things will happen in the next three months?
You can answer this question on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes.";Someone in your direct environment (family, friends, colleagues) will be infected;int;;;
3.03;q1c;q1header;grid;-;Subjective Risks;"Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden gebeuren?
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";u moet naar het ziekenhuis als u wordt besmet;"What do you think the chances are that the following things will happen in the next three months?
You can answer this question on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes.";You will have to go to the hospital if you get infected   ;int;;;
3.04;q1e;q1header;grid;-;Subjective Risks;"Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden gebeuren?
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";u wordt besmet en u besmet iemand anders;"What do you think the chances are that the following things will happen in the next three months?
You can answer this question on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes.";You will be infected and you infect someone else;int;;;
4.01;q30a_mnd;q30hd_maand;table;-;Mental Health in the Past Month;"De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. 
De afgelopen maand..";was ik erg zenuwachtig;"The next question is about how you felt in the past month. Give you the answer that best reflects your feelings. 
The past month…";I felt very anxious;Categorical;Nooit|Zelden|Soms|Vaak|Meestal|Voortdurend;never|rarely|sometimes|often|mostly|constantly;
4.02;q30b_mnd;q30hd_maand;table;-;Mental Health in the Past Month;"De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. 
De afgelopen maand..";zat ik zo erg in de put dat niets mij kon opvrolijken;"The next question is about how you felt in the past month. Give you the answer that best reflects your feelings. 
The past month…";I felt so down that nothing could cheer me up;Categorical;Nooit|Zelden|Soms|Vaak|Meestal|Voortdurend;never|rarely|sometimes|often|mostly|constantly;
4.03;q30c_mnd;q30hd_maand;table;-;Mental Health in the Past Month;"De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. 
De afgelopen maand..";voelde ik me kalm en rustig;"The next question is about how you felt in the past month. Give you the answer that best reflects your feelings. 
The past month…";I felt calm and peaceful;Categorical;Nooit|Zelden|Soms|Vaak|Meestal|Voortdurend;never|rarely|sometimes|often|mostly|constantly;
4.04;q30d_mnd;q30hd_maand;table;-;Mental Health in the Past Month;"De volgende vraag gaat over hoe u zich voelde in de afgelopen maand. Geeft u het antwoord dat het best uw gevoel weergeeft. 
De afgelopen maand..";voelde ik me neerslachtig en somber;"The next question is about how you felt in the past month. Give you the answer that best reflects your feelings. 
The past month…";I felt depressed and gloomy;Categorical;Nooit|Zelden|Soms|Vaak|Meestal|Voortdurend;never|rarely|sometimes|often|mostly|constantly;
