page;id;qid;layout;filter;group;question_dutch;subquestion_dutch;question_english;type;categories_dutch;categories_english;new_name;subquestion_english
1.01;intro;intro;open;-;Introduction;"Deze maand krijgt u de zesde vragenlijst uit de reeks “Corona-uitbraak in Nederland” over
hoe het coronavirus van invloed is op uw dagelijkse leven. Ook als u de eerdere vijf
vragenlijsten niet hebt ingevuld, kunt u meedoen.

Een aantal van de vragen uit de eerste vijf vragenlijsten wordt nu opnieuw aan u
voorgelegd. Ook nu weer is het belangrijk dat u meedoet. Tijdens de coronacrisis is inzicht
in de actuele ontwikkelingen van groot belang voor de keuzes die beleidsmakers,
bedrijven en bijvoorbeeld werkenden gaan maken. En u kunt daarbij helpen.

Ook nu weer: bedankt alvast voor het meedoen!";;"This month you will receive the sixth questionnaire in the series ""Corona outbreak in the Netherlands"" about
how the coronavirus affects your daily life. Even if you did not complete the previous five
questionnaires, you can participate.

Some of the questions from the first five questionnaires are now being
questions from the first five questionnaires. Again, it is important that you participate. During the corona crisis, insight into
of current developments is of great importance for the choices that policymakers
companies and, for example, workers will make. And you can help.

Again: thank you for your participation!";;;;;
2.01;InfectionDiagnosed;InfectionDiagnosed;cat;-;Infection Diagnosed;Heeft een huisarts of een ander medisch deskundige bij u de diagnose gesteld dat u besmet bent (geweest) met het coronavirus (Covid-19)?;;Have you been diagnosed by a general practitioner or other medical professional as are or have been infected with coronavirus (Covid-19)?;Ordered Categorical;Ja die diagnose is bij mij gesteld,Nee,Het is nog niet zeker ;Yes I have been diagnosed with that,No,It is not certain yet;infection_diagnosed;
3.01;q1a;q1header;grid;-;Subjective Risks;"Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden Gebeuren?
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";u wordt besmet;"How likely do you think the following things are to Happen in the next three months?
You can answer this question on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes.";Integer;;;p_2m_infected;you become infected
3.02;q1b;q1header;grid;-;Subjective Risks;"Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden Gebeuren?
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";iemand in uw directe omgeving (familie, vrienden, collega’s) wordt besmet;"How likely do you think the following things are to Happen in the next three months?
You can answer this question on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes.";Integer;;;p_2m_acquaintance_infected;someone close to you (family, friends, colleagues) becomes infected
3.03;q1c;q1header;grid;-;Subjective Risks;"Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden Gebeuren?
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";u moet naar het ziekenhuis als u wordt besmet;"How likely do you think the following things are to Happen in the next three months?
You can answer this question on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes.";Integer;;;p_2m_hospital_if_infect_self;you have to go to hospital if you are infected
3.04;q1e;q1header;grid;-;Subjective Risks;"Hoe groot denkt u dat de kans is dat de volgende dingen in de komende drie maanden Gebeuren?
U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";u wordt besmet en u besmet iemand anders;"How likely do you think the following things are to Happen in the next three months?
You can answer this question on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes.";Integer;;;p_2m_infected_and_pass_on;you are infected and you infect someone else
4.01;vaccine_intention_jan;vaccine_intention_jan;grid;-;Vaccine Intention - January;"Stel dat er een vaccin tegen Covid-19 wordt goedgekeurd en vanaf januari 2021 beschikbaar is. Uw ziektekostenverzekering vergoedt alle kosten en u hebt de mogelijkheid om in januari gevaccineerd te worden.
Hoe groot is de kans dat u zich dan ook meteen laat vaccineren? U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";Hoe groot is de kans dat u zich in januari laat vaccineren?;"Suppose a vaccine against Covid-19 is approved and available starting in January 2021. Your health insurance will cover all costs and you have the option to be vaccinated in January.
How likely is it that you will get vaccinated right then? You can answer this question on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes.";Integer;;;vaccine_intention_jan;How likely are you to get vaccinated in January?
5.01;vaccine_intention_jul;vaccine_intention_jul;grid;-;Vaccine Intention – June;"Stel nu dat er een vaccin tegen Covid-19 wordt goedgekeurd en vanaf januari 2021 beschikbaar is. Uw ziektekostenverzekering vergoedt alle kosten en u hebt de mogelijkheid om in juli gevaccineerd te worden. 

Stel dat tegen die tijd 2 miljoen Nederlanders met goed resultaat al zijn gevaccineerd, en dat de bijwerkingen te verwaarlozen zijn. 

Hoe groot is de kans dat u zich in juli laat vaccineren? U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.";Hoe groot is de kans dat u zich in juli laat vaccineren?;"Now suppose a vaccine against Covid-19 is approved and available starting in January 2021. Your health insurance will cover all costs and you have the option to be vaccinated in July. 

Suppose that by then 2 million Dutch people have already been vaccinated with good results, and that the side effects are negligible. 

How likely is it that you will be vaccinated in July? You can answer this question on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes.";Integer;;;vaccine_intention_jul;How likely are you to get vaccinated in July?
6.01;covid_attitudes1;covid_attitudes;table;-;COVID Attitudes;Er zijn verschillende coronavaccins die mogelijk begin 2021 beschikbaar komen. Bent u het oneens of eens met de volgende uitspraken?;Het lijkt me goed om me tegen het coronavirus te laten vaccineren.;There are several corona vaccines that may become available in early 2021. Do you disagree or agree with the following statements?;Ordered Categorical;Helemaal mee oneens,Oneens,Niet oneens en niet eens,Eens,Helemaal mee eens;Strongly disagree,Disagree,Neither disagree nor disagree,Agree,Strongly agree;covid_health_concern;I think it would be good to get vaccinated against the coronavirus.
6.01;covid_attitudes2;covid_attitudes;table;-;COVID Attitudes;Er zijn verschillende coronavaccins die mogelijk begin 2021 beschikbaar komen. Bent u het oneens of eens met de volgende uitspraken?;Ik denk dat het veilig is voor mij om me te laten vaccineren.;There are several corona vaccines that may become available in early 2021. Do you disagree or agree with the following statements?;Ordered Categorical;Helemaal mee oneens,Oneens,Niet oneens en niet eens,Eens,Helemaal mee eens;Strongly disagree,Disagree,Neither disagree nor disagree,Agree,Strongly agree;covid_vaccine_effective;I think it's safe for me to get vaccinated.
